"match_id","team_name","duration_perc","angleratio","highpassperc","passesreceivedperc","fouls","percentpassdeflect","numthroughballs","percentpassmiscom","standing_diving","team_id","Percent_of_On_Target_Shots","Total_shots","Ratio_of_Shots","Previous_matches_win_percentage","count_dribbles","score","outcome"
3835319,"Austria Women's",0.453869575186019,0.95049504950495,0.244949494949495,0.825757575757576,10,0,0,0,5,859,0.777777777777778,9,0.5625,NA,18,0,"lose"
3835319,"England Women's",0.546130424813981,0.958620689655172,0.214035087719298,0.917543859649123,5,0.0503524672708963,1,0,0,865,0.5625,16,1.77777777777778,NA,17,1,"win"
3835320,"Northern Ireland",0.330696245831291,0.967741935483871,0.211038961038961,0.899350649350649,7,0.157728706624606,1,0.0788643533123028,4,2457,0.428571428571429,7,0.333333333333333,NA,11,1,"lose"
3835320,"Norway Women's",0.669303754168709,0.954861111111111,0.136042402826855,0.920494699646643,7,0.0534473543559594,10,0,2,852,0.666666666666667,21,3,NA,19,4,"win"
3835321,"WNT Finland",0.234919144663515,1,0.370689655172414,0.788793103448276,10,0,2,0,7,920,0.727272727272727,33,8.25,NA,9,1,"lose"
3835321,"Spain Women's",0.765080855336485,0.953929539295393,0.121715076071923,0.9432918395574,9,0.0412031314379893,2,0,2,863,0.5,4,0.121212121212121,NA,15,4,"win"
3835322,"Denmark Women's",0.37764857557046,0.905325443786982,0.303405572755418,0.773993808049536,11,0,1,0.0844594594594595,5,853,0.333333333333333,6,0.272727272727273,NA,22,0,"lose"
3835322,"Germany Women's",0.62235142442954,0.927152317880795,0.184615384615385,0.904273504273504,11,0.0512820512820513,3,0.0512820512820513,0,857,0.863636363636364,22,3.66666666666667,NA,10,4,"win"
3835323,"Switzerland Women's",0.383025308114123,1.03743315508021,0.263020833333333,0.846354166666667,17,0.0698324022346369,0,0,1,860,0.588235294117647,17,2.42857142857143,NA,17,2,"tie"
3835323,"Portugal Women's",0.616974691885877,1.00396825396825,0.158823529411765,0.966666666666667,9,0.0525762355415352,6,0,2,864,0.857142857142857,7,0.411764705882353,NA,21,2,"tie"
