team.name,percentfirsttime,duration_perc,num_crosses,Total_shots,Ratio_of_Shots,numshotassist,outcome
England Women's,0.380228137,0.518387928,14,13,0.866666667,8,Win
Germany Women's,0.272182907,0.481612072,21,15,1.153846154,10,Loss
