"","match_id","team.name","outcome","percenthighpass","numsubs","percentfirsttime","percenthead","percentshotassist","percentpassdeflect","percentpassmiscom","numthroughballs","standing_diving"
"1",3835319,"Austria Women's","Loss",0.244949494949495,3,0.206327372764787,0.343878954607978,5,0,0,0,5
"2",3835319,"England Women's","Win",0.214035087719298,3,0.201409869083585,0.80563947633434,10,0.0503524672708963,0,1,0
"3",3835320,"Northern Ireland","Loss",0.211038961038961,5,0.157728706624606,0.394321766561514,5,0.157728706624606,0.0788643533123028,1,4
"4",3835320,"Norway Women's","Win",0.136042402826855,5,0.374131480491716,0.106894708711919,12,0.0534473543559594,0,10,2
"5",3835321,"Spain Women's","Win",0.121715076071923,5,0.329625051503914,0.329625051503914,25,0.0412031314379893,0,2,2
"6",3835321,"WNT Finland","Loss",0.370689655172414,5,0.290416263310745,0.968054211035818,2,0,0,2,7
"7",3835322,"Denmark Women's","Loss",0.303405572755418,5,0,0.675675675675676,6,0,0.0844594594594595,1,5
"8",3835322,"Germany Women's","Win",0.184615384615385,5,0.153846153846154,0.307692307692308,12,0.0512820512820513,0.0512820512820513,3,0
"9",3835323,"Portugal Women's","Loss",0.158823529411765,3,0.420609884332282,0.315457413249211,13,0.0525762355415352,0,6,2
"10",3835323,"Switzerland Women's","Win",0.263020833333333,3,0.279329608938547,0.768156424581006,2,0.0698324022346369,0,0,1
"11",3835324,"Netherlands Women's","Loss",0.219917012448133,4,0.231884057971014,0.869565217391304,7,0.0579710144927536,0,2,2
"12",3835324,"Sweden Women's","Win",0.214428857715431,3,0.229357798165138,0.401376146788991,6,0,0,0,2
"13",3835325,"France Women's","Win",0.149812734082397,5,0.313643491897543,0.3659174072138,10,0,0,1,2
"14",3835325,"Italy Women's","Loss",0.182767624020888,5,0.206043956043956,0.480769230769231,7,0,0.0686813186813187,6,1
"15",3835326,"Belgium Women's","Loss",0.228511530398323,2,0.181928441479685,1.27349909035779,8,0,0,1,2
"16",3835326,"Iceland Women's","Win",0.329268292682927,3,0.427655024946543,0.285103349964362,12,0.0712758374910905,0,1,5
"17",3835327,"England Women's","Win",0.175379426644182,5,0.654582074521652,0.151057401812689,12,0,0,1,1
