"","team_id","match_id","team.name","away_team_name","outcome","percenthighpass","numsubs","percentfirsttime","percenthead","percentshotassist","percentpassdeflect.x","percentpassmiscom.x","numthroughballs.x","standing_diving.x","duration_perc","angleratio","highpassperc","passesreceivedperc","fouls","num_switches","num_crosses","num_clearance","tackles_won_perc","complete_dribbles_perc","Percent_of_On_Target_Shots","Total_shots","Ratio_of_Shots","Previous_matches_win_percentage","count_dribbles","score"
"20",2457,3835328,"Northern Ireland","Northern Ireland","Loss",0.280487804878049,5,0.0784929356357928,1.64835164835165,3,0,0,0,8,0.395975806,0.88372093,0.280487805,0.817073171,9,11,3,33,0.48,0.294117647058824,0.5,4,0.222222222222222,0,8,0
"21",853,3835329,"Denmark Women's","WNT Finland","Win",0.179661016949153,5,0.2465483234714,0.14792899408284,14,0,0,0,0,0.552914587,0.989830508,0.179661017,0.905084746,10,10,21,7,0.55,0.666666666666667,0.222222222222222,9,0.473684210526316,100,18,1
"22",920,3835329,"WNT Finland","WNT Finland","Loss",0.204255319148936,2,0.0587889476778366,0.705467372134039,8,0.117577895355673,0.0587889476778366,1,3,0.447085413,0.945833333,0.204255319,0.957446809,5,7,3,28,0.666666666666667,0.25,0.684210526315789,19,2.11111111111111,0,14,0
"23",857,3835330,"Germany Women's","Spain Women's","Win",0.363344051446945,5,0.0772200772200772,1.08108108108108,4,0,0,1,-2,0.245973893,1.067114094,0.363344051,0.816720257,17,8,8,34,0.791666666666667,0.416666666666667,0.538461538461538,13,1.85714285714286,100,24,2
"24",863,3835330,"Spain Women's","Spain Women's","Loss",0.110192837465565,4,0.169563374311149,0.381517592200085,13,0.0847816871555744,0.0423908435777872,3,2,0.754026107,0.964577657,0.110192837,0.932506887,9,15,16,21,0.7,0.555555555555556,0.714285714285714,7,0.538461538461538,0,12,0
"25",858,3835331,"Sweden Women's","Switzerland Women's","Win",0.221206581352834,3,0.267522739432852,0.214018191546281,11,0,0,6,1,0.552878916,0.844067797,0.221206581,0.92321755,13,7,14,9,0.761904761904762,0.4,0.6875,16,2.66666666666667,0,19,2
"26",860,3835331,"Switzerland Women's","Switzerland Women's","Loss",0.215277777777778,4,0.0626959247648903,0.564263322884012,2,0,0,0,3,0.447121084,0.881578947,0.215277778,0.856481481,15,5,2,30,0.578947368421053,0.6,0.833333333333333,6,0.375,0,21,1
"27",851,3835332,"Netherlands Women's","Portugal Women's","Win",0.225325884543762,3,0.21505376344086,0.483870967741935,11,0.0537634408602151,0.0537634408602151,3,7,0.606311159,0.981412639,0.225325885,0.918063315,9,17,9,20,0.666666666666667,0.470588235294118,0.5,18,1.8,0,23,3
"28",864,3835332,"Portugal Women's","Portugal Women's","Loss",0.25,4,0.158353127474268,0.791765637371338,3,0,0.0791765637371338,0,-1,0.393688841,1.012121212,0.25,0.734939759,11,6,13,18,0.516129032258065,0.444444444444444,0.8,10,0.555555555555556,0,17,2
"29",854,3835333,"Belgium Women's","Belgium Women's","Loss",0.159144893111639,5,0.063653723742839,0.63653723742839,0,0,0.063653723742839,4,0,0.361702583,0.818181818,0.159144893,0.990498812,14,10,6,21,0.56,0.5,1,1,0.0384615384615385,0,19,1
"30",861,3835333,"France Women's","Belgium Women's","Win",0.123809523809524,5,0.469043151969981,0.140712945590994,17,0.140712945590994,0,4,1,0.638297417,1.012861736,0.123809524,0.911111111,2,22,22,6,0.631578947368421,0.464285714285714,0.538461538461538,26,26,100,7,2
"31",862,3835334,"Iceland Women's","Iceland Women's","Tie",0.420074349442379,5,0.278810408921933,2.04460966542751,5,0,0,0,5,0.321992902,0.948905109,0.420074349,0.73605948,19,4,3,54,0.714285714285714,0.411764705882353,0.523809523809524,21,2.1,0,11,1
"32",855,3835334,"Italy Women's","Iceland Women's","Tie",0.238003838771593,4,0.491266375545852,0.764192139737991,15,0.0545851528384279,0,1,-1,0.678007098,1.035294118,0.238003839,0.89059501,10,8,23,21,0.705882352941177,0.5,0.3,10,0.476190476190476,100,26,1
